id,source_type,false_positive,flag,blocking_layer,risk_level,latency_sec
bipia_fpr_00000,email,True,semantic,semantic,medium,8.538
bipia_fpr_00001,table,True,anomaly,anomaly,high,0.003
bipia_fpr_00002,email,True,anomaly,anomaly,high,0.007
bipia_fpr_00003,table,True,semantic,semantic,medium,10.186
bipia_fpr_00004,table,True,anomaly,anomaly,high,0.003
bipia_fpr_00005,table,True,semantic,semantic,medium,10.195
bipia_fpr_00006,table,False,clean,NONE (passed correctly),medium,9.919
bipia_fpr_00007,table,False,clean,NONE (passed correctly),medium,16.277
bipia_fpr_00008,table,True,semantic,semantic,medium,26.184
bipia_fpr_00009,email,True,semantic,semantic,medium,10.64
bipia_fpr_00010,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00011,email,True,semantic,semantic,medium,9.1
bipia_fpr_00012,table,True,semantic,semantic,medium,13.662
bipia_fpr_00013,table,False,clean,NONE (passed correctly),medium,7.059
bipia_fpr_00014,email,True,semantic,semantic,medium,8.299
bipia_fpr_00015,email,False,clean,NONE (passed correctly),low,9.023
bipia_fpr_00016,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00017,table,False,clean,NONE (passed correctly),medium,11.061
bipia_fpr_00018,email,False,clean,NONE (passed correctly),low,7.38
bipia_fpr_00019,email,False,clean,NONE (passed correctly),low,8.975
bipia_fpr_00020,table,False,clean,NONE (passed correctly),low,5.912
bipia_fpr_00021,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00022,table,False,clean,NONE (passed correctly),low,4.959
bipia_fpr_00023,table,True,semantic,semantic,medium,10.742
bipia_fpr_00024,table,True,semantic,semantic,medium,14.714
bipia_fpr_00025,email,True,semantic,semantic,medium,8.83
bipia_fpr_00026,email,False,clean,NONE (passed correctly),low,7.509
bipia_fpr_00027,table,True,semantic,semantic,medium,11.289
bipia_fpr_00028,table,False,clean,NONE (passed correctly),medium,19.124
bipia_fpr_00029,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00030,email,False,clean,NONE (passed correctly),low,11.151
bipia_fpr_00031,email,True,semantic,semantic,medium,10.451
bipia_fpr_00032,table,True,semantic,semantic,medium,30.529
bipia_fpr_00033,table,True,anomaly,anomaly,high,0.006
bipia_fpr_00034,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00035,table,False,clean,NONE (passed correctly),medium,32.48
bipia_fpr_00036,table,True,rules,rules,medium,0.003
bipia_fpr_00037,email,True,anomaly,anomaly,high,0.002
bipia_fpr_00038,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00039,email,True,semantic,semantic,medium,13.334
bipia_fpr_00040,table,False,clean,NONE (passed correctly),medium,30.186
bipia_fpr_00041,email,True,semantic,semantic,medium,10.794
bipia_fpr_00042,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00043,table,False,clean,NONE (passed correctly),medium,30.295
bipia_fpr_00044,email,True,semantic,semantic,medium,10.455
bipia_fpr_00045,table,True,semantic,semantic,medium,9.347
bipia_fpr_00046,table,True,anomaly,anomaly,high,0.005
bipia_fpr_00047,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00048,table,False,clean,NONE (passed correctly),medium,13.685
bipia_fpr_00049,table,True,anomaly,anomaly,high,0.003
bipia_fpr_00050,email,True,semantic,semantic,medium,12.467
bipia_fpr_00051,email,False,clean,NONE (passed correctly),low,7.846
bipia_fpr_00052,email,True,semantic,semantic,medium,7.627
bipia_fpr_00053,email,False,clean,NONE (passed correctly),low,7.889
bipia_fpr_00054,email,False,clean,NONE (passed correctly),low,11.251
bipia_fpr_00055,email,True,anomaly,anomaly,high,0.002
bipia_fpr_00056,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00057,email,False,clean,NONE (passed correctly),low,9.887
bipia_fpr_00058,table,False,clean,NONE (passed correctly),low,7.888
bipia_fpr_00059,table,True,semantic,semantic,medium,42.467
bipia_fpr_00060,table,True,anomaly,anomaly,high,0.002
bipia_fpr_00061,table,True,anomaly,anomaly,high,0.002
bipia_fpr_00062,table,True,anomaly,anomaly,high,0.003
bipia_fpr_00063,email,False,clean,NONE (passed correctly),low,9.304
bipia_fpr_00064,table,False,clean,NONE (passed correctly),medium,27.174
bipia_fpr_00065,table,True,anomaly,anomaly,high,0.002
bipia_fpr_00066,email,False,clean,NONE (passed correctly),low,10.088
bipia_fpr_00067,table,True,anomaly,anomaly,high,0.003
bipia_fpr_00068,email,True,semantic,semantic,medium,9.952
bipia_fpr_00069,table,True,anomaly,anomaly,high,0.004
bipia_fpr_00070,table,True,anomaly,anomaly,high,0.006
bipia_fpr_00071,email,False,clean,NONE (passed correctly),low,8.513
bipia_fpr_00072,email,True,semantic,semantic,medium,7.912
bipia_fpr_00073,email,True,semantic,semantic,medium,9.845
bipia_fpr_00074,table,True,semantic,semantic,medium,27.178
bipia_fpr_00075,table,True,anomaly,anomaly,high,0.005
bipia_fpr_00076,table,True,anomaly,anomaly,high,0.003
bipia_fpr_00077,email,False,clean,NONE (passed correctly),low,9.566
bipia_fpr_00078,table,False,clean,NONE (passed correctly),low,15.754
bipia_fpr_00079,table,False,clean,NONE (passed correctly),medium,44.659
bipia_fpr_00080,table,True,semantic,semantic,medium,11.563
